Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
India,3|0.031,Bronze,"3193,3330,3309",0.031000,8.99,62.93
Kosovo,3|0.063,Bronze,3168,0.063000,18.27,127.89
