Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Ukraine,3|1.567,3,"3330,2567,3370",1.567000,438.76,548.45
Ukraine,3|0.222,3,"3309,3328,3335,3418",0.222000,62.16,87.02
Ukraine,3|0.188,3,3237,0.188000,52.64,73.70
Ukraine,3|0.527,3,3340,0.527000,147.56,184.45
Ukraine,3|0.4,3,3177,0.400000,112.00,140.00
Ukraine,3|0.867,3,3371,0.867000,242.76,303.45
Egypt,3|0.267,3,"2750,2579,3330,3160,3370",0.267000,74.76,104.66
Egypt,3|0.129,3,2266,0.129000,36.12,72.24
Egypt,3|0.198,3,3001,0.198000,55.44,77.62
Egypt,3|0.12,3,3182,0.120000,33.60,67.20
Egypt,1|0.118,1,3193,0.118000,33.04,66.08
Egypt,3|0.195,3,3237,0.195000,54.60,76.44
Egypt,3|0.222,3,"3309,3335",0.222000,62.16,87.02
Egypt,3|0.26,3,3340,0.260000,72.80,101.92
Egypt,3|0.107,3,3168,0.107000,29.96,59.92
Brazil,3|0.835,3,"2579,2567,3406,3370,3309,3330",0.835000,233.80,292.25
Brazil,3|0.492,3,2217,0.492000,137.76,172.20
Brazil,3|0.129,3,2266,0.129000,36.12,72.24
Brazil,3|0.235,3,3089,0.235000,65.80,92.12
Brazil,3|0.198,3,3001,0.198000,55.44,77.62
Brazil,3|0.12,3,3182,0.120000,33.60,67.20
Brazil,3|0.118,3,3193,0.118000,33.04,66.08
Brazil,3|0.278,3,2263,0.278000,77.84,108.98
Brazil,3|0.101,3,3018,0.101000,28.28,56.56
Brazil,3|0.566,3,2739,0.566000,158.48,198.10
Brazil,3|0.432,3,2738,0.432000,120.96,151.20
Brazil,3|0.102,3,3215,0.102000,28.56,57.12
Brazil,2|0.015,2,3237,0.015000,4.20,8.40
Brazil,2|0.094,2,2951,0.094000,26.32,52.64
Brazil,1|0.094,1,3365,0.094000,26.32,52.64
Brazil,3|0.114,3,"2404,3229",0.114000,31.92,63.84
Brazil,3|0.122,3,3252,0.122000,34.16,68.32
Brazil,1|0.036,1,3405,0.036000,10.08,20.16
Brazil,3|0.039,3,3413,0.039000,10.92,21.84
Brazil,3|0.371,3,3371,0.371000,103.88,129.85
Brazil,3|0.47,3,3264,0.470000,131.60,164.50
Brazil,3|0.094,3,"3246,2906",0.094000,26.32,52.64
Brazil,2|0.035,2,3104,0.035000,9.80,19.60
Brazil,2|0.046,2,3412,0.046000,12.88,25.76
Brazil,2|0.09,2,3398,0.090000,25.20,50.40
Haiti,3|0.335,3,"2750,2579,3330,3370,3371,3309",0.335000,93.80,131.32
Haiti,3|0.129,3,2266,0.129000,36.12,72.24
Haiti,3|0.198,3,3001,0.198000,55.44,77.62
Haiti,3|0.12,3,3182,0.120000,33.60,67.20
Haiti,3|0.118,3,3193,0.118000,33.04,66.08
Haiti,3|0.295,3,3335,0.295000,82.60,115.64
Iran,3|0.129,3,2266,0.129000,36.12,72.24
Iran,3|0.198,3,3001,0.198000,55.44,77.62
