Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Italy,3|0.411,3,"2750,2579,3193,3160,3307,3370,3406,3266,3309",0.411000,119.19,151.38
Italy,3|0.118,3,3001,0.118000,34.22,239.54
Italy,3|0.234,3,2738,0.234000,67.86,97.05
Italy,3|0.197,3,2615,0.197000,57.13,81.71
Italy,2|0.091,2,3237,0.091000,26.39,184.73
Italy,3|0.135,3,3168,0.135000,39.15,274.05
Italy,3|0.324,3,3304,0.324000,93.96,134.38
Romania,3|0.244,3,"2750,2579,2291,3193,3330,3370",0.244000,70.76,101.20
Romania,3|0.118,3,3001,0.118000,34.22,239.54
Romania,3|0.131,3,2738,0.131000,37.99,265.93
Romania,3|0.175,3,3160,0.175000,50.75,72.58
Romania,3|0.098,3,2263,0.098000,28.42,198.94
Romania,3|0.089,3,3237,0.089000,25.81,180.67
Romania,3|0.062,3,2739,0.062000,17.98,125.86
Romania,3|0.102,3,"3328,3309",0.102000,29.58,207.06
Romania,3|0.135,3,3168,0.135000,39.15,274.05
Cyprus,3|0.243,3,"2750,3193,2579,3371,3309,3328",0.243000,70.47,100.79
Cyprus,3|0.118,3,"3001,2739",0.118000,34.22,239.54
Cyprus,3|0.2,3,2738,0.200000,58.00,82.95
Cyprus,3|0.062,3,3393,0.062000,17.98,125.86
Cyprus,3|0.167,3,2263,0.167000,48.43,339.01
Luxembourg,3|0.199,3,"2750,2579,3193,3370,3309,3371,3393",0.199000,57.71,82.54
Luxembourg,3|0.118,3,3001,0.118000,34.22,239.54
Suriname,3|0.118,3,3001,0.118000,34.22,239.54
Suriname,3|0.178,3,"3370,3371,3393,3309",0.178000,51.62,73.83
Guatemala,3|0.118,3,3001,0.118000,34.22,239.54
Guatemala,3|0.177,3,"2579,3370,3393,3309",0.177000,51.33,73.41
Guatemala,3|0.143,3,3371,0.143000,41.47,290.29
Guatemala,3|0.132,3,3421,0.132000,38.28,267.96
Madagascar,3|0.099,3,2217,0.099000,28.71,200.97
Madagascar,3|0.118,3,3001,0.118000,34.22,239.54
Madagascar,3|0.335,3,"2579,3330,3370,3428,3371,3309,3393",0.335000,97.15,138.94
