Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Cuba,3,"2750,3160,3370,3371,3393,3309",0.203000,56.84,96.84
Greece,3,3248,0.014000,3.92,53.92
Chile,3,"3350,2974",0.018000,5.04,55.04
Sierra Leone,3,3001,0.138000,38.64,88.64
Bahamas,3,3001,0.138000,38.64,88.64
Bolivia,3,3001,0.138000,38.64,88.64
Grenada,3,3001,0.138000,38.64,88.64
Latvia,3,"3340,3393",0.080000,22.40,72.40
Tajikistan,3,3371,0.090000,25.20,75.20
Brunei Darussalam,3,3001,0.138000,38.64,88.64
Cayman islands,3,3001,0.138000,38.64,88.64
Saint Vincent,3,3001,0.138000,38.64,88.64
Albania,3,3001,0.138000,38.64,88.64
Slovenia,3,3256,0.040000,11.20,61.20
Saint Kitts and Nevis,3,3001,0.138000,38.64,88.64
Lithuania,3,3237,0.098000,27.44,77.44
Central African Republic,3,3001,0.138000,38.64,88.64
Liberia,3,3393,0.032000,8.96,58.96
Japan,3,"2750,3160,3370,3371,3393",5.158000,1444.24,1805.30
Guinea,3,3001,0.138000,38.64,88.64
Aruba,3,3001,0.138000,38.64,88.64
Comoros,3,3001,0.138000,38.64,88.64
Singapore,3,3335,0.136000,38.08,88.08
Slovakia,3,3001,0.138000,38.64,88.64
Anguilla,3,3001,0.138000,38.64,88.64
Sao Tome and Principe,3,3001,0.138000,38.64,88.64
Croatia,3,3001,0.138000,38.64,88.64
Cape Verde,3,3001,0.138000,38.64,88.64
Monaco,3,3001,0.138000,38.64,88.64
Macedonia,3,3001,0.138000,38.64,88.64
Belize,3,3001,0.138000,38.64,88.64
New Caledonia,3,3001,0.138000,38.64,88.64
New Zealand,3,3001,0.138000,38.64,88.64
Mongolia,3,3001,0.138000,38.64,88.64
Lebanon,3,"3001,3168",0.138000,38.64,88.64
Denmark,3,3237,0.124000,34.72,84.72
Austria,3,3001,0.138000,38.64,88.64
Seychelles,3,3001,0.138000,38.64,88.64
Australia,3,3335,0.126000,35.28,85.28
Montserrat,3,3001,0.138000,38.64,88.64
Dominica,3,3001,0.138000,38.64,88.64
Macau,3,3001,0.138000,38.64,88.64
Iceland,3,3001,0.138000,38.64,88.64
Eritrea,3,3001,0.138000,38.64,88.64
Kosovo,3,3168,0.076000,21.28,71.28
United States (virtual),3,"2430,2440,2441,2767,2748,2784,2677,2524,2675,2681,2620,2568,3212",0.010000,2.80,52.80
Gibraltar,3,"2750,3370,2579,3371,3393,3309",1.086000,304.08,380.10
