Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Spain,3|0.022,3,"3329,3393,3371,3328",0.022000,6.38,44.66
Spain,3|0.032,3,3335,0.032000,9.28,64.96
"Moldova, Republic of",3|0.046,3,"2750,3193,2260,2738,3370,3330,3239",0.046000,13.34,93.38
"Moldova, Republic of",3|0.039,3,"3335,3418",0.039000,11.31,79.17
"Moldova, Republic of",3|0.042,3,2920,0.042000,12.18,85.26
United States,3|0.339,3,2617,0.339000,98.31,140.60
United States,2|0.099,2,3001,0.099000,28.71,200.97
United States,1|0.16,1,3177,0.160000,46.40,324.80
United States,1|0.12,1,3170,0.120000,34.80,243.60
United States,3|0.574,3,"3193,3370",0.574000,166.46,211.42
United States,2|0.059,2,2495,0.059000,17.11,119.77
United States,3|0.111,3,3237,0.111000,32.19,225.33
Thailand,3|0.185,3,"2750,2579,3193,3160,3330,3370,3309",0.185000,53.65,76.73
Thailand,3|0.156,3,2217,0.156000,45.24,316.68
Thailand,3|0.099,3,3001,0.099000,28.71,200.97
Thailand,3|0.034,3,"3340,3393",0.034000,9.86,69.02
Thailand,3|0.008,3,3237,0.008000,2.32,16.24
United Kingdom,3|0.034,3,"2263,2442",0.034000,9.86,69.02
United Kingdom,3|0.04,3,2738,0.040000,11.60,81.20
United Kingdom,3|0.502,3,"2750,2579,3160,3193,3330,3368,2260,3406,3370,3428,2914,3402",0.502000,145.58,184.90
United Kingdom,3|0.099,3,3001,0.099000,28.71,200.97
United Kingdom,3|0.024,3,2739,0.024000,6.96,48.72
United Kingdom,3|0.048,3,2291,0.048000,13.92,97.44
United Kingdom,3|0.014,3,"2295,3212,3248",0.014000,4.06,28.42
United Kingdom,3|0.018,3,"3309,3329,3328,3393,2920,3371",0.018000,5.22,36.54
United Kingdom,1|0.008,1,3237,0.008000,2.32,16.24
United Kingdom,3|0.038,3,3335,0.038000,11.02,77.14
United Kingdom,3|0.067,3,2567,0.067000,19.43,136.01
United Kingdom,3|0.376,3,"1015,1017",0.376000,109.04,138.49
United Kingdom,1|0.502,1,3435,0.502000,145.58,184.90
Germany,3|0.675,3,2263,0.675000,195.75,248.62
Germany,3|0.713,3,2738,0.713000,206.77,262.62
Germany,3|1.51,3,"2750,2579,2442,3193,3160,3330,2567,3370,3428,2966",1.510000,437.90,556.18
Germany,3|0.235,3,2739,0.235000,68.15,97.47
Germany,3|0.045,3,"3329,3393,3418,3371,3309",0.045000,13.05,91.35
Germany,3|0.014,3,3237,0.014000,4.06,28.42
Germany,3|0.3,3,3394,0.300000,87.00,124.43
Germany,3|1.125,3,3087,1.125000,326.25,414.37
Germany,3|0.089,3,3335,0.089000,25.81,180.67
Germany,3|0.419,3,3168,0.419000,121.51,154.33
Germany,1|1.51,1,3435,1.510000,437.90,556.18
Lao People`s,3|0.046,3,"3193,3330,2260,3370,3421",0.046000,13.34,93.38
Lao People`s,3|0.045,3,"3335,3418",0.045000,13.05,91.35
Lao People`s,3|0.023,3,2920,0.023000,6.67,46.69
Poland,3|0.267,3,2263,0.267000,77.43,110.74
Poland,3|0.278,3,2738,0.278000,80.62,115.30
Poland,3|0.819,3,"2579,3193,2442,3330,2567,3370,3428,3393",0.819000,237.51,301.66
Poland,3|0.01,3,"2739,3160,2284",0.010000,2.90,20.30
Poland,1|0.01,1,2295,0.010000,2.90,20.30
Poland,3|0.024,3,"3328,3309,3418",0.024000,6.96,48.72
Poland,3|0.534,3,3087,0.534000,154.86,196.69
Poland,3|0.045,3,3335,0.045000,13.05,91.35
Poland,3|0.615,3,1015,0.615000,178.35,226.52
Malaysia,3|0.051,3,"2750,2579,3193,3330,3370,3168,3309",0.051000,14.79,103.53
Malaysia,3|0.008,3,3237,0.008000,2.32,16.24
Malaysia,3|0.036,3,"3393,3421",0.036000,10.44,73.08
Netherlands,3|0.079,3,2295,0.079000,22.91,160.37
Netherlands,3|0.768,3,"2263,2442,2738,2750,2579,3160,3193,3330,2567,3370,3428,3309,3393",0.768000,222.72,282.88
Netherlands,3|0.584,3,2739,0.584000,169.36,215.10
Netherlands,3|0.087,3,3198,0.087000,25.23,176.61
Netherlands,3|0.036,3,"3329,3314,3328,3418,3371",0.036000,10.44,73.08
Netherlands,3|0.534,3,3087,0.534000,154.86,196.69
Netherlands,3|0.48,3,3394,0.480000,139.20,176.80
Netherlands,2|0.031,2,3335,0.031000,8.99,62.93
Netherlands,3|0.474,3,3433,0.474000,137.46,174.59
Netherlands,3|0.04,3,1203,0.040000,11.60,81.20
Netherlands,3|0.067,3,3248,0.067000,19.43,136.01
Philippines,3|0.046,3,"2750,2263,2738,3160,3193,3330,3370,3309",0.046000,13.34,93.38
Philippines,3|0.042,3,2739,0.042000,12.18,85.26
