Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
India,3|0.072,Bronze,"2805,2750,3193,3160,3406,3371,3309,3393",0.072000,20.16,30.24
Gibraltar,3|0.551,Bronze,"2750,2579",0.551000,154.28,192.85
