Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Saudi Arabia,Bronze,2377,0.078000,22.62,33.93
Saudi Arabia,Bronze,"3160,3193,3330",0.127000,36.83,55.24
Thailand,Bronze,"2750,3160,3309",0.051000,14.79,44.37
Benin,Bronze,"2579,2750,3193",0.127000,36.83,55.24
Costa Rica,Bronze,2579,0.127000,36.83,55.24
Burkina Faso,Bronze,"2579,2750,3193",0.127000,36.83,55.24
Qatar,Bronze,2579,0.127000,36.83,55.24
Belgium,Bronze,"2579,2750,3193",0.286000,82.94,116.12
United Kingdom,Bronze,"1015,1017,3397",0.100000,29.00,43.50
United Kingdom,Bronze,2263,0.087000,25.23,37.84
United Kingdom,Bronze,"2291,2579,2750,2914,3160,3168,3193,3330,3368,3406",0.134000,38.86,58.29
United Kingdom,Bronze,2295,0.070000,20.30,30.45
United Kingdom,Bronze,2442,0.063000,18.27,54.81
United Kingdom,Bronze,2738,0.115000,33.35,50.03
United Kingdom,Bronze,2739,0.055000,15.95,47.85
United Kingdom,Bronze,3212,0.054000,15.66,46.98
United Kingdom,Gold,3435,0.134000,38.86,58.29
Reunion,Bronze,2579,0.127000,36.83,55.24
Oman,Bronze,2579,0.127000,36.83,55.24
Yemen,Bronze,2377,0.090000,26.10,39.15
Yemen,Bronze,"3193,3330",0.127000,36.83,55.24
Uruguay,Bronze,2579,0.210000,60.90,85.26
Iraq,Bronze,"2579,3168,3193,3330",0.127000,36.83,55.24
Senegal,Bronze,"2579,2750,3193",0.127000,36.83,55.24
Germany,Bronze,2263,0.094000,27.26,40.89
Germany,Bronze,"2442,2750,2966,3160,3193,3309,3330",0.234000,67.86,95.00
Germany,Bronze,2738,0.111000,32.19,48.28
Germany,Bronze,2739,0.062000,17.98,53.94
Germany,Bronze,3087,0.067000,19.43,58.29
Germany,Bronze,3168,0.175000,50.75,71.05
Germany,Bronze,3394,0.174000,50.46,70.64
Germany,Gold,3435,0.234000,67.86,95.00
Poland,Bronze,"1015,2284,2295",0.126000,36.54,54.81
Poland,Bronze,2263,0.127000,36.83,55.24
Poland,Bronze,"2442,2579,3160,3193,3309,3330",0.167000,48.43,72.64
Poland,Bronze,2738,0.144000,41.76,62.64
Poland,Bronze,2739,0.068000,19.72,59.16
Togo,Bronze,"2579,2750,3193",0.127000,36.83,55.24
Togo,Bronze,3168,0.095000,27.55,41.33
Niger,Bronze,2579,0.127000,36.83,55.24
