Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Kosovo,3|0.063,3,3168,0.063000,18.27,91.35
Gibraltar,3|1.159,3,"2750,2579",1.159000,336.11,420.14
